PropTypeDescription,Acreage,SpecificPropTypeDescription,NbhdCode2,Land Value,Total Value,TotGLA,Tot Bsmt,EffYearBuilt_Weighted,Quality_Weighted,Main_StyleDesc,FullBaths_Total,HalfBaths_Total,BsmtFinishPct_Weighted,Laundry_Count,KitchenCount,CarportArea,CarportCapacity,GarageArea,GarageCapacity,Count_DetGarage,SqFt_DetGarage,Count_ DetCarport,SqFt_DetCarport,Count_Barn,Sqft_Barn,Count_Guest_House,SqFt_Guest_House,Count_Pools,SqFt_Pools,Count_Recreational_Courts,SqFt_Recreational_Courts,Count_Shed,SqFt_Shed,Count_Gazebo_Pavilion,SqFt_Gazebo_Pavilion,Sold Price,Sold Date,Concessions Amount,segment,Age,Adj_Price,ln_Price,ln_GLA,Time_1,Time_2,Time_3,Trended_Price
Single Family Res,0.23,RESIDENTIAL,C," $89,714.00 "," $472,455.00 ",1784.0,0.0,2021.0,4.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,814.0,3.0,,,,,,,,,,,,,,,,,549000.0,2022-06-21,0.0,Residential,5.0,549000.0,13.215853720491667,7.486613313139955,5.551905387647832,0.0,0.0,556476.7447774266
Single Family Res,0.23,RESIDENTIAL,C," $89,714.00 "," $472,455.00 ",1784.0,0.0,2021.0,4.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,814.0,3.0,,,,,,,,,,,,,,,,,549000.0,2022-06-21,0.0,Land Sales,5.0,549000.0,13.215853720491667,7.486613313139955,5.551905387647832,0.0,0.0,578755.6613845624
Single Family Res,0.26,RESIDENTIAL,C," $84,018.00 "," $507,949.00 ",1785.0,1773.0,2018.0,4.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,869.0,3.0,,,,,,,,,,,,,,,,,594500.0,2024-02-13,0.0,Residential,11.0,594500.0,13.295475995112973,7.487173694213739,25.328515111695136,0.0,0.0,633840.2322581431
Single Family Res,0.26,RESIDENTIAL,C," $84,018.00 "," $507,949.00 ",1785.0,1773.0,2018.0,4.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,869.0,3.0,,,,,,,,,,,,,,,,,594500.0,2024-02-13,0.0,Land Sales,11.0,594500.0,13.295475995112973,7.487173694213739,25.328515111695136,0.0,0.0,657976.3751727731
Single Family Res,0.24,RESIDENTIAL,C," $82,551.00 "," $484,837.00 ",1858.0,0.0,2022.0,4.0,One Story,2.0,1.0,0.0,1.0,1.0,0.0,0.0,901.0,3.0,,,,,,,,,,,,,,,,,440000.0,2023-05-12,0.0,Residential,4.0,440000.0,12.994530005894443,7.527255919373784,16.228646517739815,0.0,0.0,458330.96472455235
Single Family Res,0.24,RESIDENTIAL,C," $82,551.00 "," $484,837.00 ",1858.0,0.0,2022.0,4.0,One Story,2.0,1.0,0.0,1.0,1.0,0.0,0.0,901.0,3.0,,,,,,,,,,,,,,,,,440000.0,2023-05-12,0.0,Land Sales,4.0,440000.0,12.994530005894443,7.527255919373784,16.228646517739815,0.0,0.0,476196.24203425506
Single Family Res,0.24,RESIDENTIAL,C," $82,551.00 "," $580,920.00 ",1664.0,1642.0,2013.0,4.0,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1115.0,4.0,,,,,,,,,,,,,,,,,512000.0,2023-07-25,0.0,Residential,21.0,512000.0,13.146079904021645,7.416979621381154,18.659658344283837,0.0,0.0,536654.8491996857
Single Family Res,0.24,RESIDENTIAL,C," $82,551.00 "," $580,920.00 ",1664.0,1642.0,2013.0,4.0,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1115.0,4.0,,,,,,,,,,,,,,,,,512000.0,2023-07-25,0.0,Land Sales,21.0,512000.0,13.146079904021645,7.416979621381154,18.659658344283837,0.0,0.0,557444.0751861281
Single Family Res,0.23,RESIDENTIAL,C," $99,316.00 "," $696,497.00 ",2845.0,1688.0,2013.0,5.0,One and One Half,3.0,1.0,0.15,1.0,1.0,0.0,0.0,768.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,64.0,0.0,,669000.0,2025-01-02,0.0,Residential,21.0,669000.0,13.413539339110365,7.953318346560431,28.055190538764784,0.328515111695138,7.588699080157687,665933.7192634485
Single Family Res,0.23,RESIDENTIAL,C," $99,316.00 "," $696,497.00 ",2845.0,1688.0,2013.0,5.0,One and One Half,3.0,1.0,0.15,1.0,1.0,0.0,0.0,768.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,64.0,0.0,,669000.0,2025-01-02,0.0,Land Sales,21.0,669000.0,13.413539339110365,7.953318346560431,28.055190538764784,0.328515111695138,7.588699080157687,675666.1569265445
