Parcel Number,PropTypeDescription,Acreage,SpecificPropTypeDescription,NbhdCode2,Land Value,Total Value,TotGLA,Tot Bsmt,EffYearBuilt_Weighted,Quality_Weighted,Main_StyleDesc,FullBaths_Total,HalfBaths_Total,BsmtFinishPct_Weighted,Laundry_Count,KitchenCount,CarportArea,CarportCapacity,GarageArea,GarageCapacity,Count_DetGarage,SqFt_DetGarage,Count_ DetCarport,SqFt_DetCarport,Count_Barn,Sqft_Barn,Count_Guest_House,SqFt_Guest_House,Count_Pools,SqFt_Pools,Count_Recreational_Courts,SqFt_Recreational_Courts,Count_Shed,SqFt_Shed,Count_Gazebo_Pavilion,SqFt_Gazebo_Pavilion,Sold Price,Sold Date,Concessions Amount,segment,List Number,Adj_Price,ln_Price,ln_GLA,Time_1,Time_2,Time_3,Trended_Price
1200020000,Exempt,0.01,GOVERNMENTAL,C, $-   , $-   ,1168.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425000.0,2024-06-05,0.0,Land Sales,107095.0,425000.0,12.959844447906553,7.0630481633881725,27.92378449408673,0.2956636005256242,0.8212877792378449,432683.9282702287
1300020001,Single Family Res,0.34,RESIDENTIAL,C," $85,856.00 "," $525,907.00 ",2337.0,0.0,2014.0,3.5,One and One Half,3.0,0.0,0.0,1.0,2.0,0.0,0.0,606.0,2.0,0.0,0.0,0.0,0.0,1.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565000.0,2023-12-21,0.0,Residential,104557.0,565000.0,13.244581010128577,7.756623334538858,23.554533508541393,0.0,0.0,600094.934470489
1300020001,Single Family Res,0.34,RESIDENTIAL,C," $85,856.00 "," $525,907.00 ",2337.0,0.0,2014.0,3.5,One and One Half,3.0,0.0,0.0,1.0,2.0,0.0,0.0,606.0,2.0,0.0,0.0,0.0,0.0,1.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565000.0,2023-12-21,0.0,Land Sales,104557.0,565000.0,13.244581010128577,7.756623334538858,23.554533508541393,0.0,0.0,623267.3235445935
14000100013,Single Family Res,0.5,RESIDENTIAL,C," $130,327.00 "," $656,941.00 ",2636.0,0.0,2012.0,4.0,One and One Half,3.0,1.0,0.0,1.0,1.0,0.0,0.0,768.0,2.0,2.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657500.0,2024-02-02,0.0,Residential,104893.0,657500.0,13.396200043034057,7.877017895622398,24.967148488830485,0.0,0.0,700847.037234674
14000100013,Single Family Res,0.5,RESIDENTIAL,C," $130,327.00 "," $656,941.00 ",2636.0,0.0,2012.0,4.0,One and One Half,3.0,1.0,0.0,1.0,1.0,0.0,0.0,768.0,2.0,2.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657500.0,2024-02-02,0.0,Land Sales,104893.0,657500.0,13.396200043034057,7.877017895622398,24.967148488830485,0.0,0.0,727859.4439395315
2600010000,Exempt,0.02,GOVERNMENTAL,C, $-   , $-   ,3270.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430000.0,2025-11-19,0.0,Residential,111888.0,430000.0,12.971540487669746,8.0925452638913,27.92378449408673,0.2956636005256242,18.298291721419183,429877.7867448025
2600010000,Exempt,0.02,GOVERNMENTAL,C, $-   , $-   ,3270.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430000.0,2025-11-19,0.0,Land Sales,111888.0,430000.0,12.971540487669746,8.0925452638913,27.92378449408673,0.2956636005256242,18.298291721419183,430564.14173660835
2600010003,Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $272,640.00 ",1344.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,349500.0,2022-04-24,0.0,Residential,97770.0,349500.0,12.764258840656002,7.203405521083095,3.6465177398160313,0.0,0.0,352931.44094558764
2600010003,Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $272,640.00 ",1344.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,349500.0,2022-04-24,0.0,Land Sales,97770.0,349500.0,12.764258840656002,7.203405521083095,3.6465177398160313,0.0,0.0,366918.1551556782
2600010004,Single Family Res,0.14,RESIDENTIAL,C," $47,438.00 "," $263,589.00 ",1056.0,0.0,2016.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,480.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,0.0,0.0,320000.0,2025-07-30,0.0,Residential,112105.0,320000.0,12.676076274775909,6.962243464266207,27.92378449408673,0.2956636005256242,14.61892247043364,319666.64522420394
2600010004,Single Family Res,0.14,RESIDENTIAL,C," $47,438.00 "," $263,589.00 ",1056.0,0.0,2016.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,480.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,0.0,0.0,320000.0,2025-07-30,0.0,Land Sales,112105.0,320000.0,12.676076274775909,6.962243464266207,27.92378449408673,0.2956636005256242,14.61892247043364,321542.0582341446
2600010009,Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $286,715.00 ",1366.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,0.0,337500.0,2023-08-03,0.0,Residential,103070.0,337500.0,12.729320789294722,7.2196420401307355,18.95532194480946,0.0,0.0,354306.67646273464
2600010009,Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $286,715.00 ",1366.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,0.0,335000.0,2024-05-15,0.0,Residential,104074.0,335000.0,12.721885810807203,7.2196420401307355,27.92378449408673,0.2956636005256242,0.1314060446780552,333653.6750035943
