MLS #,Acres,Basement Finished,Under Contract Date,Effective Date Of The Listing Agreement,List Price,Basement Square Feet,Sold Concessions,Sold Date,Sold Price,Sold Terms,Tax ID,Total Bedrooms,Total Full Bathrooms,Total Half Bathrooms,Total Three-quarter Bathrooms,Total Fireplaces,Total Kitchens,Total Laundry Rooms,Total Square Feet,Year Built,Road Condition,Accessability,Address
96679,0.03,0.0,2022-01-19,2022-01-19,305000,0,0,2022-06-03,300000.0,CONV,B-1958-0024-000E,3,2,1,0,0,1,1,1420,2021,Paved,Year Round,3056 N 175 E
96680,0.03,0.0,2022-01-19,2022-01-19,305000,0,0,2022-05-20,300000.0,CONV,B-1958-0024-000D,3,2,1,0,0,1,1,1420,2021,Paved,Year Round,3054 N 175 E
96681,0.03,0.0,2022-01-19,2022-01-19,305000,0,0,2022-06-03,300000.0,CONV,B-1958-0024-000C,3,2,1,0,0,1,1,1420,2021,Paved,Year Round,3052 N 175 E
96682,0.03,0.0,2022-01-19,2022-01-19,305000,0,0,2022-06-03,300000.0,CONV,B-1958-0024-000B,3,2,1,0,0,1,1,1420,2021,Paved,Year Round,3050 N 175 E
96683,0.03,0.0,2022-01-19,2022-01-19,310000,0,0,2022-06-03,300000.0,CONV,B-1958-0024-000A,3,2,1,0,0,1,1,1420,2021,Paved,Year Round,3048 N 175 E
96686,0.24,100.0,2022-01-30,2022-01-19,499900,1503,0,2022-02-21,507500.0,CONV,B-1941-0009-0000,6,3,0,0,1,1,1,3006,2010,Paved,,3539 W 325 S Circle
96687,0.45,0.0,2022-03-01,2022-01-19,540000,0,0,2022-03-29,540000.0,VA,A-0907-0015-0000,4,2,0,0,0,1,1,2150,2022,Paved,,4269 N Tomahawk (Lot 15) Drive
96688,0.03,0.0,2022-01-19,2022-01-19,310000,0,0,2022-08-05,303000.0,CASH,B-1958-0023-000D,3,2,1,0,0,1,1,1420,2021,Paved,Year Round,3046 N 175 E
96689,0.03,0.0,2022-01-19,2022-01-19,305000,0,0,2022-08-05,303000.0,CASH,B-1958-0023-000C,3,2,1,0,0,1,1,1420,2021,Paved,Year Round,3044 N 175 E
96690,0.03,0.0,2022-01-19,2022-01-19,305000,0,0,2022-08-05,303000.0,CASH,B-1958-0023-000B,3,2,1,0,0,1,1,1420,2021,Paved,Year Round,3042 N 175 E
96691,0.03,0.0,2022-01-19,2022-01-19,310000,0,0,2022-08-05,303000.0,CASH,B-1958-0023-000A,3,2,1,0,0,1,1,1420,2021,Paved,Year Round,3040 N 175 E
96695,0.3,0.0,2022-03-27,2022-01-19,492800,1533,4000,2022-05-25,502000.0,FHA,B-1857-0027-0001,3,2,0,0,0,1,1,3066,2021,Paved,Year Round,3614 W Foundation Trail
96698,20.2,0.0,2022-02-11,2022-01-19,350000,0,0,2022-03-14,350000.0,VA,E-1616-0010-0000,1,1,0,0,0,1,1,864,2005,,Year Round,2147 N 4000 W
96700,0.25,100.0,2022-02-21,2022-01-20,569000,1589,0,2022-04-01,550000.0,CONV,B-1395-0001-0011,5,3,0,0,0,1,1,3178,1996,Paved,,2177 N Hawthorne Lane
96707,0.15,100.0,2022-01-27,2022-01-21,435000,1110,0,2022-02-24,463000.0,CONV,B-0099-0000-0000,5,2,0,0,0,1,1,2220,1950,Paved,,114 N 600 W
96710,0.02,0.0,2022-01-25,2022-01-20,215000,0,0,2022-02-14,215000.0,CASH,B-1960-0009-000G,3,2,1,0,0,1,1,1258,2007,Paved,,920 S 25 #9G E
96711,0.21,100.0,2022-01-31,2022-01-20,399000,1092,5000,2022-02-28,397500.0,FHA,B-1155-0016-0000,6,3,0,0,1,1,1,2230,1977,Paved,,583 W Pinewood Drive
96713,0.18,100.0,2022-03-28,2022-01-21,399000,432,0,2022-04-29,420000.0,FHA,B-1581-000A-0010,5,3,1,0,0,1,1,1942,1997,Paved,,2237 N 475 E
96715,0.28,0.0,2022-01-21,2022-01-21,410000,1380,0,2022-05-20,415427.0,CONV,A-0883-0034-0000,3,2,0,0,1,1,1,2930,2022,Paved,,1170 E Southern Homestead Settlers Square Phs 2 Lot 34
96719,0.12,0.0,2022-01-23,2022-01-21,280000,0,0,2022-02-23,300000.0,CONV,B-1837-0016-0001,3,2,0,0,1,1,1,1430,2007,Paved,Year Round,4274 W 300 N
96724,0.5,0.0,2022-02-03,2022-01-22,798500,0,0,2022-02-11,798500.0,CASH,D-1214-0034-0000,6,3,0,0,1,1,1,2500,2022,Paved,Year Round,4927 N 2475 W
96730,0.04,0.0,2022-01-26,2022-01-24,289000,0,0,2022-02-28,287500.0,CONV,B-0360-0001-0001,3,1,1,0,1,1,1,1133,1995,Paved,,361 S 300 E
96731,0.19,100.0,2022-02-07,2022-01-24,490000,1500,0,2022-03-09,490000.0,CONV,B-1803-0007-0000,5,3,0,0,1,1,1,3000,2014,Paved,,145 N 4275 W
96734,0.03,0.0,2022-02-10,2022-01-24,350000,0,0,2022-03-10,347000.0,CASH,B-1848-0003-0016,3,2,1,0,1,1,1,1672,2019,Paved,,3061 W 1725 #16 N
96738,0.54,0.0,2022-02-04,2022-01-25,299000,0,0,2022-02-24,240000.0,CASH,A-1211-0129-0000,1,1,0,0,1,1,1,974,2022,,Year Round,268 E Quakie CBME unit C lot 129
96744,0.3,0.0,2022-02-02,2022-01-26,450000,0,0,2022-05-09,450000.0,CONV,B-2020-0098-0000,5,2,1,0,1,1,1,2300,2022,Paved,,4612 W 275 (Lot 98) N
