List Number,Sold Date,Sold Price,Basement SqFt,Year Built,Lot Acres,Total Bedrooms,Full Baths,Half Baths,Garage Type,Zoned,Subdivision,Parcel Number,Garage Capacity,Photo URL,Bsmt % Finish,Fireplaces2,Kitchens,Laundry,Concessions4,Road Condition,Accessability,Address,GLA,Adjusted SP
106806,2/10/2025,750000,1634,2015,0.53,6,3,0,Attach,Re,Equestrian Pointe,B-1804-0016-0000,3,http://cdn.photos.sparkplatform.com/icb/20240723173416114651000000.jpg,1,1,1,1,0,Paved,Year Round,3445 W 1375 N,1634,750000
106867,1/15/2025,458900,0,2024,0.26,3,2,0,Attach,Re,Iron West,B-2020-0152-0000,3,http://cdn.photos.sparkplatform.com/icb/20241011182346591520000000.jpg,0,0,1,1,0,Paved,Year Round,4631 W 200 Lot 152 N,1773,458900
106907,3/28/2025,375000,0,1995,0.5,3,2,0,Attach,R-1,Buena Vista,D-1189-000A-0021,2,http://cdn.photos.sparkplatform.com/icb/20240520214849958227000000.jpg,0,0,1,1,1199,Paved,Year Round,4169 W 475 N,1268,373801
106919,6/3/2025,745000,0,2019,0.04,4,3,1,Attach,R3,Anderson PUD,A-1204-0001-0000,2,http://cdn.photos.sparkplatform.com/icb/20240521175409543441000000.jpg,0,1,1,1,4500,Paved,,310 N Hwy 143 #1,2777,740500
106963,4/1/2025,465750,1605,1994,0.3,6,4,0,Attach,Res,Jefferson Park,B-1132-0007-0033,2,http://cdn.photos.sparkplatform.com/icb/20240523171204063581000000.jpg,1,1,1,1,6150,Paved,Year Round,965 W 600 S,1623,459600
106976,6/2/2025,379900,0,2024,0.1,4,2,1,Attach,R,Magnolia Fields,B-2031-0006-000N,2,http://cdn.photos.sparkplatform.com/icb/20240523235102702491000000.jpg,0,1,1,1,0,Paved,Year Round,1055 N Fern Street,1806,379900
106977,6/2/2025,379900,0,2024,0.1,4,2,1,Attach,R,Magnolia Fields,B-2031-0006-000S,2,http://cdn.photos.sparkplatform.com/icb/20240521220428802962000000.jpg,0,1,1,1,0,Paved,,1049 N Fern Street,1806,379900
106996,1/27/2025,432500,0,2019,0.16,3,2,0,Attach,Residential,Crescent Hills,B-1999-0046-0000,2,http://cdn.photos.sparkplatform.com/icb/20240524223208785741000000.jpg,0,1,1,1,1000,Paved,Year Round,2823 W 25 N Sterling Drive,1633,431500
107032,5/15/2025,340000,0,2021,0.11,4,2,1,Attach,R-3-M,Mountain Vista,B-1873-0027-000N,2,http://cdn.photos.sparkplatform.com/icb/20240529153950313645000000.jpg,0,0,1,1,9355,Paved,Year Round,904 S 25 E,2305,330645
107058,1/21/2025,1890000,3782,2006,4.34,5,4,1,Attach,R-1,Equestrian Pointe,B-1598-0009-0000,10,http://cdn.photos.sparkplatform.com/icb/20240528175123010391000000.jpg,1,2,1,1,0,Paved,,3557 W 1600 N,3512,1890000
107064,2/14/2025,460000,0,2024,0.16,5,3,0,Attach,R-1,Pointe West,B-2033-0033-0000,2,http://cdn.photos.sparkplatform.com/icb/20240819152426985456000000.jpg,0,1,1,1,15000,Paved,Year Round,3335 W Indigo Street,2020,445000
107075,7/9/2025,395000,268,2010,0,2,2,0,Attach,R,White Bear Condos,A-1200-0AA3-0000,2,http://cdn.photos.sparkplatform.com/icb/20240531153913639089000000.jpg,1,1,1,1,0,Paved,,74 W Ridge View #AA3 or #A7 Street,900,395000
107217,3/21/2025,740000,0,2021,0.35,4,3,0,Attach,R-1,Legacy Park Sub,B-1424-0002-0000,3,http://cdn.photos.sparkplatform.com/icb/20240611185635717915000000.jpg,0,1,1,1,0,Paved,Year Round,389 S Mesa Hills Drive,2785,740000
112303,11/12/2025,799900,0,2024,0.42,3,2,1,Attach,R-1,The Canyon at Eagle Ridge,B-2011-0012-0000,3,http://cdn.photos.sparkplatform.com/icb/20250717230857455984000000.jpg,0,1,1,1,0,Paved,Year Round,2290 S Canyon Circle,2868,799900
112304,8/14/2025,500000,1032,1924,0.3,6,3,0,Detach,R3M,Cedar City,B-0253-0000-0000,1,http://cdn.photos.sparkplatform.com/icb/20250717231505287472000000.jpg,1,0,2,2,0,Paved,Year Round,264 S 100 W,1573,500000
